CNA	Gene	KEGG	Cosmic
chr1_45473084_47583606	TEX38,FAAH,TSPAN1,TESK2,ZSWIM5,GPBP1L1,LRRC41,MAST2,AKR1A1,CCDC163,CCDC17,EFCAB14,DMBX1,IPP,KNCN,TOE1,CYP4Z2P,LURAP1,UROD,CYP4A11,LINC01144,HECTD3,CYP4X1,ATPAF1,RAD54L,HPDL,PRDX1,MMACHC,LINC01398,NASP,MOB3C,MUTYH,FAAHP1,EFCAB14-AS1,UQCRH,CYP4B1,MKNK1,TMEM69,LOC101929626,CYP4Z1,NSUN4,POMGNT1,RPS15AP10,PIK3R3,MKNK1-AS1	NA	MUTYH_TSG
chr1_47881987_48261352	FOXD2,FOXE3,FOXD2-AS1,LINC01389,TRABD2B	NA	NA
chr1_51702428_51810715	RNF11,TTC39A-AS1,TTC39A	NA	NA
chr1_53153391_53308645	ZYG11B,ZYG11A,COA7	Thermogenesis_COA7	NA
chr1_53527891_53662767	SLC1A7,CPT2,PODN	Fatty acid degradation_CPT2,Fatty acid metabolism_CPT2,PPAR signaling pathway_CPT2,Glutamatergic synapse_SLC1A7	NA
chr1_53736898_54203737	SLC25A3P1,GLIS1,LRP8,LINC01771,DMRTB1	NA	NA
chr1_54506428_55253770	CYB5RL,TMEM59,TTC4,SSBP3-AS1,CDCP2,TCEANC2,SSBP3,MROH7,PARS2,MRPL37,MIR4781,MROH7-TTC4,TTC22,FAM151A,ACOT11	Amino sugar and nucleotide sugar metabolism_CYB5RL,Aminoacyl-tRNA biosynthesis_PARS2	NA
chr1_55534717_55643805	USP24	NA	NA
chr1_57140053_61921051	HSD52,PRKAA2,C1orf87,C1orf168,LINC01135,C8A,TACSTD2,JUN,OMA1,NFIA,CYP2J2,LOC101926944,LINC01358,NFIA-AS1,MIR4711,HOOK1,FGGY,MYSM1,DAB1,C8B,LOC101926964,DAB1-AS1,NFIA-AS2	Prion diseases_C8A/C8B,Complement and coagulation cascades_C8A/C8B,Amoebiasis_C8A/C8B,Systemic lupus erythematosus_C8A/C8B,Fluid shear stress and atherosclerosis_PRKAA2/JUN,Non-alcoholic fatty liver disease (NAFLD)_PRKAA2/JUN,Oxytocin signaling pathway_PRKAA2/JUN,Tight junction_PRKAA2/JUN	JUN_oncogene
chr1_65895544_67206405	LEPR,LOC101927139,LEPROT,MIR3117,SGIP1,PDE4B	NA	NA
chr1_67891817_68299347	SERBP1,GNG12,GADD45A,GNG12-AS1	NA	NA
chr1_68943469_70621479	DEPDC1-AS1,LRRC40,LRRC7,PIN1P1,DEPDC1	NA	NA
chr1_71331371_76190502	PTGER3,FPGT,SLC44A5,ERICH3-AS1,ERICH3,TYW3,MIR186,ACADM,ZRANB2-AS1,TNNI3K,CRYZ,LINC01360,ZRANB2-AS2,LRRIQ3,ZRANB2,NEGR1,LHX8,FPGT-TNNI3K,NEGR1-IT1	NA	NA
chr1_76288093_77984412	ASB17,LOC101927342,PIGK,ST6GALNAC5,AK5,MSH4,ST6GALNAC3,MIR7156	Glycosphingolipid biosynthesis - ganglio series_ST6GALNAC5/ST6GALNAC3,Thiamine metabolism_AK5,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis_PIGK	NA
chr1_78534731_84670980	IFI44L,PRKACB,LINC01361,LINC01781,ADGRL4,TTLL7,LOC101927434,MGC27382,GIPC2,ADGRL2,IFI44,PTGFR,LOC101927560,LINC01725	Calcium signaling pathway_PRKACB/PTGFR	NA
chr1_86342804_87194172	CLCA1,COL24A1,CLCA2,CLCA3P,SH3GLB1,LOC105378828,CLCA4,MIR7856,ODF2L	Renin secretion_CLCA1/CLCA2/CLCA4,Pancreatic secretion_CLCA1/CLCA2/CLCA4	NA
chr1_94696962_94921360	ABCD3,ARHGAP29	ABC transporters_ABCD3,Peroxisome_ABCD3	NA
chr1_97771732_100183081	FRRS1,MIR137HG,PLPPR4,PALMD,MIR2682,LINC01708,LOC100129620,DPYD-AS1,DPYD,MIR137,DPYD-AS2,MIR548AA1,SNX7,LINC01776,PLPPR5	Pantothenate and CoA biosynthesis_DPYD,beta-Alanine metabolism_DPYD,Drug metabolism - other enzymes_DPYD,Pyrimidine metabolism_DPYD	NA
chr1_100889777_108417639	LINC01676,LOC101928436,DPH5,COL11A1,VCAM1,DNAJA1P5,LOC101928370,LOC102606465,PRMT6,OLFM3,AMY1C,AMY1A,AMY2B,RNPC3,LINC01307,ACTG1P4,AMY2A,CDC14A,VAV3,EXTL2,LOC100129138,LINC01349,GPR88,NTNG1,S1PR1,SLC30A7,AMY1B	Starch and sucrose metabolism_AMY1C/AMY1A/AMY2B/AMY2A/AMY1B,Carbohydrate digestion and absorption_AMY1C/AMY1A/AMY2B/AMY2A/AMY1B,Salivary secretion_AMY1C/AMY1A/AMY1B	NA
chr1_115280583_115603159	SIKE1,CSDE1,TSHB,TSPAN2,SYCP1	Autoimmune thyroid disease_TSHB,Regulation of lipolysis in adipocytes_TSHB,RIG-I-like receptor signaling pathway_SIKE1,Thyroid hormone synthesis_TSHB	NA
chr1_117944807_145248894	PDE4DIP,SRGAP2-AS1,ADAM30,SRGAP2C,SRGAP2B,NOTCH2NL,LOC100132057,NBPF20,FAM72B,PPIAL4A,HSD3B2,HAO2,HMGCS2,SPAG17,LOC101929147,LINC00622,SEC22B,LINC00869,WDR3,EMBP1,FAM72C,NBPF8,PFN1P2,ANKRD20A12P,HAO2-IT1,SRGAP2D,HSD3B1,GDAP2,MIR6077,LOC102723769,TBX15,ZNF697,HIST2H2BA,PHGDH,NBPF7,LINC01138,MAN1A2,REG4,FCGR1B,LOC100996724,PPIAL4G,LINC00623,HSD3BP4,FAM46C,WARS2,LOC105378933,LOC100996263,NOTCH2,FAM72D,PPIAL4C,WARS2-IT1,NBPF9	Ovarian steroidogenesis_HSD3B2/HSD3B1,Steroid hormone biosynthesis_HSD3B2/HSD3B1,Cortisol synthesis and secretion_HSD3B2/HSD3B1	FAM46C_TSG,NOTCH2_oncogene/TSG
chr1_147415551_151079698	LOC101060524,ARNT,OTUD7B,MIR4257,BOLA1,FAM63A,TARS2,HIST2H4B,RNVU1-19,LOC100505824,APH1A,LOC101929798,LOC103091866,LOC100132057,SETDB1,ENSA,HIST2H2AB,PPIAL4A,CDC42SE1,NBPF14,HIST2H2AA4,PDZK1P1,CTSS,MLLT11,C1orf56,PPIAL4D,HIST2H3D,NBPF25P,LINC00869,HIST2H2BC,LOC645166,NBPF8,DRD5P2,ANP32E,MRPS21,FAM231D,FALEC,PPIAL4F,LOC101927429,HORMAD1,SV2A,LOC388692,BNIPL,CA14,MIR6077,MTMR11,PPIAL4E,HIST2H3A,MCL1,FCGR1A,HIST2H2AA3,NBPF11,GABPB2,HIST2H2AC,RPRD2,MIR5087,HIST2H2BE,PRUNE1,ADAMTSL4,RNVU1-20,VPS45,FCGR1CP,LOC101927468,LINC00623,ECM1,MIR6878,PLEKHO1,GOLPH3L,NBPF15,CIART,HIST2H4A,SF3B4,HIST2H3C,PRPF3,CTSK,CERS2,C1orf54,PPIAL4C,ANXA9,HIST2H2BF,GPR89B,LOC105371433,NBPF9,ADAMTSL4-AS1	Systemic lupus erythematosus_HIST2H4B/HIST2H2AB/HIST2H2AA4/HIST2H3D/HIST2H3A/FCGR1A/HIST2H2AA3/HIST2H2AC/HIST2H2BE/HIST2H4A/HIST2H3C/HIST2H2BF,Alcoholism_HIST2H4B/HIST2H2AB/HIST2H2AA4/HIST2H3D/HIST2H3A/HIST2H2AA3/HIST2H2AC/HIST2H2BE/HIST2H4A/HIST2H3C/HIST2H2BF,Necroptosis_HIST2H2AB/HIST2H2AA4/HIST2H2AA3/HIST2H2AC,Transcriptional misregulation in cancer_HIST2H3D/HIST2H3A/FCGR1A/HIST2H3C,Viral carcinogenesis_HIST2H4B/HIST2H2BE/HIST2H4A/HIST2H2BF	ARNT_oncogene/TSG
chr1_155236519_155385714	PKLR,CLK2,HCN3,FDPS,MIR555,ASH1L,RUSC1-AS1,RUSC1	NA	NA
chr1_155903423_156124508	LMNA,RAB25,MIR6738,ARHGEF2,SSR2,KIAA0907,RXFP4,SEMA4A,MEX3A,LAMTOR2,UBQLN4	NA	NA
chr1_157963466_158151511	CD1D,KIRREL,LINC01704	Amoebiasis_CD1D,Hematopoietic cell lineage_CD1D,Tight junction_CD1D	NA
chr1_158326517_159772246	IFI16,OR6K6,OR6P1,CD1E,OR10K2,OR10Z1,OR6Y1,OR6N2,FCRL6,OR10T2,OR6K3,OR10K1,FCER1A,SPTA1,OR10X1,CADM3-AS1,APCS,POP3,OR6N1,CRP,OR10J1,CADM3,OR10R2,OR10J5,ACKR1,AIM2,MNDA,OR10J3,OR6K2,PYHIN1,DUSP23	Olfactory transduction_OR6K6/OR6P1/OR10K2/OR10Z1/OR6Y1/OR6N2/OR10T2/OR6K3/OR10K1/OR10X1/OR6N1/OR10J1/OR10R2/OR10J5/OR10J3/OR6K2	NA
chr1_160171034_162569153	C1orf226,SDHC,NECTIN4,ATF6,DUSP12,CASQ1,NDUFS2,RPL31P11,B4GALT3,COPA,HSPA7,FCGR2A,FCGR2C,FCRLB,VANGL2,DEDD,MIR556,PCP4L1,MIR5187,ITLN2,ITLN1,UAP1,TOMM40L,CD244,SLAMF1,KLHDC9,FCGR3B,CD84,MPZ,SUMO1P3,ADAMTS4,TSTD1,FCGR2B,PPOX,HSPA6,ARHGAP30,NIT1,APOA2,PEX19,PEA15,CFAP126,SLAMF6,UFC1,CD48,LOC101928372,SH2D1B,FCGR3A,NCSTN,NHLH1,USF1,SLAMF7,PFDN2,UHMK1,FCRLA,MIR4654,OLFML2B,NOS1AP,LOC729867,NR1I3,FCER1G,USP21,SPATA46,DCAF8,F11R,LY9	Staphylococcus aureus infection_FCGR2A/FCGR2C/FCGR3B/FCGR2B/FCGR3A,Natural killer cell mediated cytotoxicity_CD244/FCGR3B/CD48/SH2D1B/FCGR3A/FCER1G,Tuberculosis_FCGR2A/FCGR2C/FCGR3B/FCGR2B/FCGR3A/FCER1G,Osteoclast differentiation_FCGR2A/FCGR2C/FCGR3B/FCGR2B/FCGR3A,Leishmaniasis_FCGR2A/FCGR2C/FCGR3B/FCGR3A,Phagosome_FCGR2A/FCGR2C/FCGR3B/FCGR2B/FCGR3A,Alzheimer's disease_SDHC/ATF6/NDUFS2/NCSTN,Fc gamma R-mediated phagocytosis_FCGR2A/FCGR2B/FCGR3A	FCGR2B_oncogene/fusion
chr1_162724945_165414130	DDR2,LOC100422212,RXRG,RGS5,LOC101928404,HSD17B7,LOC100505795,RGS4,CCDC190,LMX1A,NUF2,PBX1	Transcriptional misregulation in cancer_RXRG/PBX1,Steroid biosynthesis_HSD17B7,Thyroid cancer_RXRG,Ovarian steroidogenesis_HSD17B7,Steroid hormone biosynthesis_HSD17B7,Cortisol synthesis and secretion_PBX1,Non-small cell lung cancer_RXRG,Adipocytokine signaling pathway_RXRG,PPAR signaling pathway_RXRG	DDR2_oncogene
chr1_167383569_167806556	CREG1,POU2F1,RCSD1,MPZL1,CD247,ADCY10	NA	NA
chr1_168550289_171292331	XCL1,C1orf112,FMO2,MIR1295B,DPT,LOC101928596,METTL18,MIR3119-2,MIR1295A,LINC00970,LOC101928650,FMO1,SCYL3,SELP,CCDC181,F5,LINC01142,MROH9,FMO3,MIR3119-1,SELL,METTL11B,BLZF1,NME7,GORAB,FMO4,SELE,FMO6P,SLC19A2,PRRX1,ATP1B1,KIFAP3,LINC00626	Drug metabolism - cytochrome P450_FMO2/FMO1/FMO3/FMO4,Cell adhesion molecules (CAMs)_SELP/SELL/SELE,Malaria_SELP/SELE	NA
chr1_171890887_173950147	ANKRD45,LOC100506023,SNORD44,SNORD81,TNFSF18,SERPINC1,FASLG,MIR199A2,ZBTB37,SNORD78,GAS5,SLC9C2,DNM3,SNORD79,SNORA103,SNORD47,PIGC,SUCO,CENPL,SNORD75,RC3H1,PRDX6,TNFSF4,LOC101928673,SNORD80,GAS5-AS1,SNORD77,LOC730159,KLHL20,MIR214,DNM3OS,SNORD74,C1orf105,SNORD76,MIR3120,DARS2	NA	NA
chr1_176132950_178483212	LINC01645,LINC01741,RASAL2-AS1,RASAL2,LOC730102,RFWD2,ASTN1,MIR488,BRINP2,TEX35,SEC16B,PAPPA2	NA	NA
chr1_179497461_179852112	NPHS2,AXDND1,FAM163A,TOR1AIP1,TDRD5,TOR1AIP2	NA	NA
chr1_180067997_180601406	OVAAL,ACBD6,QSOX1,LHX4-AS1,CEP350,MIR3121,LHX4,FLJ23867,XPR1	NA	NA
chr1_180882379_182027145	KIAA1614,ZNF648,STX6,MR1,IER5,LINC01699,CACNA1E,LINC01732	SNARE interactions in vesicular transport_STX6,Type II diabetes mellitus_CACNA1E	NA
chr1_183852919_184718726	TSEN15,RGL1,COLGALT2,EDEM3,C1orf21	Other types of O-glycan biosynthesis_COLGALT2,Lysine degradation_COLGALT2	NA
chr1_185270103_186418591	OCLM,IVNS1ABP,LINC01350,GS1-279B7.1,TPR,C1orf27,HMCN1,PRG4,PDC,LOC102724919	Thyroid cancer_TPR,RNA transport_TPR,Influenza A_IVNS1ABP	NA
chr1_186823486_197684204	CFHR2,RGS2,CFHR5,F13B,TROVE2,LINC01037,KCNT2,MIR1278,LINC01032,ZBTB41,ASPM,PLA2G4A,RGS21,CFHR4,BRINP3,CFH,RGS13,SCARNA18B,RGS18,LINC01031,CRB1,MIR4426,MIR4735,CFHR1,LINC01036,CDC73,UCHL5,LINC01351,LINC01720,RGS1,DENND1B,CFHR3,GLRX2,B3GALT2	NA	CDC73_TSG
chr1_197744268_197890789	C1orf53,LHX9,DENND1B	NA	NA
chr1_197901048_200013020	NR5A2,LINC01222,MIR181A1HG,MIR181B1,ATP6V1G3,MIR181A1,LINC01221,PTPRC,NEK7	NA	NA
chr1_201816406_205389664	MIR6739,MYBPH,KLHDC8A,BTG2,GOLT1A,FMOD,ZC3H11A,LINC01353,LOC100506747,PPFIA4,SNRPE,TMEM183A,PRELP,LEMD1,LOC101929441,KDM5B,SHISA4,LOC148709,LEMD1-AS1,KISS1,RABIF,ELF3,LGR6,TIMM17A,KLHL12,PPP1R12B,ZBED6,SOX13,RBBP5,DSTYK,IPO9,SNORA77,LRRN2,LMOD1,PIK3C2B,NFASC,PCAT6,PLEKHA6,LAX1,CHIT1,MYOG,PTPRVP,TMCC2,LINC01136,CNTN2,CHI3L1,ARL8A,RNPEP,PPP1R15B,MGAT4EP,LINC00260,GPR37L1,ATP2B4,NUAK2,OPTC,PTPN7,UBE2T,SYT2,LINC00628,TMEM81,MDM4,REN,TMEM183B,MIR6740,ETNK2,ADORA1,ADIPOR1,CYB5R1,LINC00303	NA	MDM4_oncogene
chr1_206646570_207007745	IL19,DYRK3,RASSF5,MAPKAPK2,IL10,IKBKE,MIR6769B,EIF2D	C-type lectin receptor signaling pathway_MAPKAPK2/IL10/IKBKE	NA
chr1_212560232_212873104	NENF,ATF3,LINC01740,TMEM206,FAM71A,BATF3	HTLV-I infection_ATF3	NA
chr1_215179264_219385070	SPATA17-AS1,LINC01653,TGFB2-OT1,TGFB2,KCNK2,KCTD3,RRP15,TGFB2-AS1,LINC00210,LOC102723833,GPATCH2,MIR548F3,LYPLAL1-AS1,USH2A,LYPLAL1,ESRRG,SPATA17	NA	NA
chr1_221054535_221910802	C1orf140,DUSP10,HLX	MAPK signaling pathway_DUSP10	NA
chr1_224022532_226488906	MIR320B2,CNIH3,NVL,LOC100287497,DNAH14,H3F3A,DEGS1,H3F3AP4,PYCR2,EPHX1,MIXL1,SDE2,LOC101927164,GTF2IP20,FBXO28,WDR26,LEFTY2,MIR4742,LOC101927143,SRP9,ACBD3,ENAH,TP53BP2,CNIH4,LIN9,MIR6741,TMEM63A,LBR,LEFTY1	NA	H3F3A_oncogene
chr1_226595510_226835081	ITPKB,STUM,PARP1	Base excision repair_PARP1,Inositol phosphate metabolism_ITPKB,NF-kappa B signaling pathway_PARP1,Phosphatidylinositol signaling system_ITPKB,Apoptosis_PARP1,Necroptosis_PARP1,Calcium signaling pathway_ITPKB	NA
chr1_227077735_229568862	MRPL55,ZNF847P,WNT3A,GJC2,C1orf145,MIR5008,PRSS38,OBSCN,HIST3H2A,IBA57,MIR3620,TRIM11,MIR7641-2,CDC42BPA,HIST3H2BB,SNAP47,PSEN2,RAB4A,MIR6742,COQ8A,MIR4666A,ARF1,BTNL10,GUK1,SPHAR,ZNF678,RHOU,CCSAP,JMJD4,WNT9A,RNF187,HIST3H3,IBA57-AS1,ACTA1,C1orf35,DUSP5P1,MIR4454,TRIM17	Systemic lupus erythematosus_HIST3H2A/HIST3H2BB/HIST3H3,Alcoholism_HIST3H2A/HIST3H2BB/HIST3H3,Basal cell carcinoma_WNT3A/WNT9A,Melanogenesis_WNT3A/WNT9A,Signaling pathways regulating pluripotency of stem cells_WNT3A/WNT9A,Wnt signaling pathway_WNT3A/WNT9A,Breast cancer_WNT3A/WNT9A,Gastric cancer_WNT3A/WNT9A,mTOR signaling pathway_WNT3A/WNT9A,Hippo signaling pathway_WNT3A/WNT9A,Cushing's syndrome_WNT3A/WNT9A,Hepatocellular carcinoma_WNT3A/WNT9A,Proteoglycans in cancer_WNT3A/WNT9A	NA
chr1_231155608_249212562	OR2T35,SCCPDH,OR14C36,OR2L1P,OR2M3,ARID4B,SNRPD2P2,MIR4677,KIF26B,FH,OR2T27,OR2T33,ZNF695,GREM2,DISC1,LOC101927851,LGALS8,MAP10,OR6F1,OR2T1,LOC339529,MIR5096,MIR3123,ERO1B,CHRM3-AS1,OR2M5,OR2L5,EDARADD,MIR4671,TOMM20,COA6,OR13G1,LINC01139,NTPCR,B3GALNT2,MIR1537,LINC01132,ZNF692,NID1,SPRTN,MIR1182,LOC101928068,OR2B11,OR2L13,LOC100130331,C1orf229,WDR64,FAM89A,LYST,RBM34,EFCAB2,RPS7P5,VN1R5,AHCTF1,PCNX2,LINC01347,OR2T6,LINC00184,LINC01354,OR2T3,OR2C3,C1orf131,ZNF496,SDCCAG8,MIR4427,IRF2BP2,GGPS1,TRIM67,SLC35F3,OR2G2,C1orf100,OR2L3,NLRP3,ZNF670,OR2W3,OR11L1,HNRNPU,LOC149373,MIR4753,MAP3K21,LOC101927765,OR2AK2,ZBTB18,EXOC8,SH3BP5L,MIR3916,LYPD8,OR2M4,OR14A16,EXO1,SIPA1L2,MAP1LC3C,DESI2,RGS7,LINC01744,GPR137B,EGLN1,TFB2M,OR2M1P,ZNF670-ZNF695,COX20,OR2T11,TBCE,AKT3,MIR4428,MIR3124,ZP4,OR2M7,RYR2,ACTN2,GNPAT,DISC1-IT1,OR1C1,DISC2,GCSAML-AS1,OR2M2,PGBD2,MIR1273E,OR2T34,ZNF124,OR2L8,FMN2,SMYD3,ZNF669,OPN3,TARBP1,OR2T8,C1orf101,KMO,TRIM58,BECN2,HEATR1,OR2T5,OR2T10,PLD5,GNG4,SNORA100,TSNAX-DISC1,LINC01743,OR2T29,LINC01341,OR2G3,CNST,MT1HL1,CHRM3,MTR,OR2W5,OR14I1,CHML,OR2T2,OR2L2,OR2T12,CEP170,LGALS8-AS1,ZNF672,LOC101927787,CHRM3-AS2,SNORA14B,TSNAX,OR2T4,GCSAML,LOC101928226,ADSS,OR2G6,KCNK1,LINC00582	Olfactory transduction_OR14C36/OR2M3/OR2T27/OR2T33/OR6F1/OR2T1/OR2M5/OR2L5/OR13G1/OR2B11/OR2L13/OR2T6/OR2T3/OR2C3/OR2G2/OR2L3/OR2W3/OR11L1/OR2AK2/OR2M4/OR14A16/OR2T11/OR2M7/OR1C1/OR2M2/OR2T34/OR2L8/OR2T8/OR2T5/OR2T10/OR2T29/OR2G3/OR14I1/OR2T2/OR2L2/OR2T12/OR2T4/OR2G6	FH_TSG
chr2_92996_3176774	MYT1L,LINC01115,PXDN,SNTG2,ACP1,LOC105373352,TPO,TMEM18,MYT1L-AS1,LOC101060391,SH3YL1,FAM150B,LINC01250,LINC01939	Thiamine metabolism_ACP1,Tyrosine metabolism_TPO,Autoimmune thyroid disease_TPO,Adherens junction_ACP1,Thyroid hormone synthesis_TPO	NA
chr2_3180222_4868555	ADI1,TRAPPC12,RPS7,LINC01249,ALLC,DCDC2C,LINC01304,COLEC11,TSSC1,RNASEH1,RNASEH1-AS1,LOC105373394	NA	NA
chr2_5415683_6472900	LINC01105,LOC400940,LINC01248,MIR7158,SOX11	NA	NA
